id,SW_Tool,Sample_Type,Correct_percentage
1,RAxMLEPA,0.2S,14.33789954
2,RAxMLEPA,0.2S,14.27701674
3,RAxMLEPA,0.2S,13.85083714
4,RAxMLEPA,0.2S,14.03348554
5,RAxMLEPA,0.2S,14.30745814
6,RAxMLEPA,0.2S,14.42922374
7,RAxMLEPA,0.2S,14.12480974
8,RAxMLEPA,0.2S,13.39421613
9,RAxMLEPA,0.2S,14.82496195
10,RAxMLEPA,0.2S,13.94216134
1,RAxMLEPA,0.4S,31.970862
2,RAxMLEPA,0.4S,32.82072036
3,RAxMLEPA,0.4S,33.87292594
4,RAxMLEPA,0.4S,32.73978146
5,RAxMLEPA,0.4S,33.50870093
6,RAxMLEPA,0.4S,31.76851477
7,RAxMLEPA,0.4S,33.26588426
8,RAxMLEPA,0.4S,33.02306758
9,RAxMLEPA,0.4S,34.96560097
10,RAxMLEPA,0.4S,32.17320923
1,RAxMLEPA,0.6S,34.67920354
2,RAxMLEPA,0.6S,48.04334738
3,RAxMLEPA,0.6S,48.22396147
4,RAxMLEPA,0.6S,45.45454545
5,RAxMLEPA,0.6S,49.307646
6,RAxMLEPA,0.6S,47.44130042
7,RAxMLEPA,0.6S,49.60866948
8,RAxMLEPA,0.6S,46.77904877
9,RAxMLEPA,0.6S,48.76580373
10,RAxMLEPA,0.6S,47.20048164
1,RAxMLEPA,0.8S,61.352657
2,RAxMLEPA,0.8S,58.33333333
3,RAxMLEPA,0.8S,62.56038647
4,RAxMLEPA,0.8S,60.74879227
5,RAxMLEPA,0.8S,60.14492754
6,RAxMLEPA,0.8S,56.52173913
7,RAxMLEPA,0.8S,62.43961353
8,RAxMLEPA,0.8S,59.66183575
9,RAxMLEPA,0.8S,61.47342995
10,RAxMLEPA,0.8S,61.83574879
1,RAxMLEPA,0.99S,85.18518519
2,RAxMLEPA,0.99S,66.66666667
3,RAxMLEPA,0.99S,62.96296296
4,RAxMLEPA,0.99S,70.37037037
5,RAxMLEPA,0.99S,74.07407407
6,RAxMLEPA,0.99S,81.48148148
7,RAxMLEPA,0.99S,81.48148148
8,RAxMLEPA,0.99S,62.96296296
9,RAxMLEPA,0.99S,66.66666667
10,RAxMLEPA,0.99S,74.07407407
1,EPAng,0.2S,12.54612546
2,EPAng,0.2S,11.43911439
3,EPAng,0.2S,17.95817958
4,EPAng,0.2S,11.0701107
5,EPAng,0.2S,19.55719557
6,EPAng,0.2S,19.06519065
7,EPAng,0.2S,10.20910209
8,EPAng,0.2S,11.31611316
9,EPAng,0.2S,17.2201722
10,EPAng,0.2S,16.23616236
1,EPAng,0.4S,23.76058041
2,EPAng,0.4S,23.15598549
3,EPAng,0.4S,35.24788392
4,EPAng,0.4S,29.62515115
5,EPAng,0.4S,33.43409915
6,EPAng,0.4S,33.91777509
7,EPAng,0.4S,23.15598549
8,EPAng,0.4S,23.39782346
9,EPAng,0.4S,23.21644498
10,EPAng,0.4S,34.15961306
1,EPAng,0.6S,42.97286351
2,EPAng,0.6S,43.21587687
3,EPAng,0.6S,43.62089915
4,EPAng,0.6S,43.13487242
5,EPAng,0.6S,46.90157959
6,EPAng,0.6S,42.527339
7,EPAng,0.6S,39.7326853
8,EPAng,0.6S,43.21587687
9,EPAng,0.6S,39.93519644
10,EPAng,0.6S,42.04131227
1,EPAng,0.8S,61.46816936
2,EPAng,0.8S,59.06183369
3,EPAng,0.8S,60.03655193
4,EPAng,0.8S,61.40724947
5,EPAng,0.8S,60.09747182
6,EPAng,0.8S,58.17849528
7,EPAng,0.8S,60.15839171
8,EPAng,0.8S,60.8894304
9,EPAng,0.8S,59.82333232
10,EPAng,0.8S,60.70667073
1,EPAng,0.99S,74.07407407
2,EPAng,0.99S,74.07407407
3,EPAng,0.99S,74.07407407
4,EPAng,0.99S,85.18518519
5,EPAng,0.99S,59.25925926
6,EPAng,0.99S,66.66666667
7,EPAng,0.99S,70.37037037
8,EPAng,0.99S,70.37037037
9,EPAng,0.99S,81.48148148
10,EPAng,0.99S,77.77777778
